id,name
147,网络空间安全人才培养存在三个特殊性：一是自身网络安全的特殊性；二是人才特殊性；三是网络空间安全人才培养的特殊性
148,培养硕士与博士生百余名
149,信息安全管理系统
150,大范围宽带网络动态处置系统
151,大规模网络信息获取系统
152,搜索引擎安全管理系统
153,通信数据安全管理系统
154,非常规突发事件中网络舆情作用机制与相关技术研究
155,Web搜索与挖掘的新理论和新方法—支持舆情监控的Web搜索与挖掘的理论与方法研究国家自然科学基金重点研究计划项目
156,Web搜索与挖掘的新理论和新方法—支持舆情监控的Web搜索与挖掘的理论与方法研究
157,网络环境下特定信息获取与处理技术国防科技创新团队项目
158,下一代互联网舆情管理系统应用示范
159,大规模网络入侵定位与容忍
160,信息安全理论及若干关键技术国家973项目
161,非常规突发事件中网络舆情作用机制与相关技术研究国家自然科学基金重大研究计划培育项目
162,《计算机病毒及其对策》
163,《计算机病毒及其防范》
164,"建设网络应急体系,保障网络空间安全"
165,《ECLIPSE MV/8000超级小型机产品介绍》
166,《网和天下 三网融合理论、实验与信息安全》
167,《在线社交网络分析》
168,《论网络空间主权》
169,计算机病毒及其预防技术
170,国家信息安全展略研究
171,大规模网络信息获取系统
172,支持存储器无冲突访问的互连开关门阵列芯片的研制
173,多机系统的性能评价的研究
174,支持存储器无冲突访问的互连开关设计理论及方法
175,ABC-90阵列计算机综合模拟器
176,国家信息安全管理系统
177,支持存储器无冲突访问的互联网络开关门阵列芯片的研制
178,搜索引擎安全管理系统
179,国家通信数据安全管理系统
180,在线社交网络分析关键技术及系统
181,大规模网络安全态势分析关键技术及系统YHSAS
182,计算机安全事件入侵检测
183,国家信息安全基础设施
